brand,promo_video_url,status
SkinClub/Cases.GG,https://www.youtube.com/watch?v=BNy7TOjo1fA,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=biP0oSEhS28,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=_1G_WUsN-xs,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=Hho8TdiEQM0,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=4MK_jpznbaE,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=7f7lWQ4l3RI,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=GfyQluRuYpU,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=s0p5N7_eQbI,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=JR06Yl_F1VI,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=Z1jf2W2Ie1s,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=o1PusbuXCks,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=fM3wlEODjCw,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=icrbev7eyw8,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=Q3vr_extfAA,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=7io-8GvwgZE,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=pB07zTxUHwM,real promo video; resolve owning channel -> new Tier-2 creator
SkinClub/Cases.GG,https://www.youtube.com/watch?v=9pMufz6TnqU,real promo video; resolve owning channel -> new Tier-2 creator
